Bus Number,Type,Active Demand (MW),Reactive Demand (MVAr),Minimum Voltage (p.u.),Maximum Voltage (p.u.),Number of Phases,Connection Type,Number of Wires
1,Reference,0.0,0.0,1.05,0.95,3 (ABC),Y,3
2,PQ,0.1,0.06,1.05,0.95,2 (AB),Y,3
3,PQ,0.09,0.04,1.05,0.95,1 (A),Y,3
4,PQ,0.12,0.08,1.05,0.95,2 (BC),Y,3
5,PQ,0.06,0.03,1.05,0.95,1 (B),Y,3
6,PQ,0.06,0.02,1.05,0.95,1 (C),Y,3
7,PQ,0.2,0.1,1.05,0.95,3 (ABC),D,3
8,PQ,0.2,0.1,1.05,0.95,3 (ABC),Y,3
9,PQ,0.06,0.02,1.05,0.95,1 (A),Y,3
10,PQ,0.06,0.02,1.05,0.95,1 (B),Y,3
11,PQ,0.045,0.03,1.05,0.95,1 (C),Y,3
12,PQ,0.06,0.035,1.05,0.95,1 (A),Y,4
13,PQ,0.06,0.035,1.05,0.95,1 (B),Y,4
14,PQ,0.12,0.08,1.05,0.95,2 (AC),Y,4
15,PQ,0.06,0.01,1.05,0.95,1 (C),Y,4
16,PQ,0.06,0.02,1.05,0.95,1 (A),Y,4
17,PQ,0.06,0.02,1.05,0.95,1 (B),Y,4
18,PQ/PV,0.09,0.04,1.05,0.95,1 (C),Y,4
19,PQ,0.09,0.04,1.05,0.95,1 (A),Y,3
20,PQ,0.09,0.04,1.05,0.95,1 (B),Y,3
21,PQ,0.09,0.04,1.05,0.95,1 (C),Y,3
22,PQ/PV,0.09,0.05,1.05,0.95,1 (A),Y,3
23,PQ,0.09,0.2,1.05,0.95,1 (B),Y,3
24,PQ,0.42,0.2,1.05,0.95,3 (ABC),Y,3
25,PQ/PV,0.42,0.025,1.05,0.95,3 (ABC),D,3
26,PQ,0.06,0.025,1.05,0.95,1 (C),Y,3
27,PQ,0.06,0.02,1.05,0.95,1 (A),Y,3
28,PQ,0.06,0.07,1.05,0.95,1 (B),Y,3
29,PQ,0.12,0.6,1.05,0.95,2 (AB),Y,4
30,PQ,0.2,0.07,1.05,0.95,1 (C),Y,4
31,PQ,0.15,0.1,1.05,0.95,2 (BC),Y,4
32,PQ,0.21,0.04,1.05,0.95,3 (ABC),Y,4
33,PQ/PV,0.06,0.04,1.05,0.95,1 (A),Y,4
